gene,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk
WBP4,696.7427707455905,-0.19779806940511915,0.11757867328638426,-1.6822614499429327,0.09251815290708797,0.1837689757709826
WDCP,40.979207059285315,-0.5400086221248703,0.18466855855348857,-2.9242044577310047,0.0034533783681822464,0.013715909621489919
WDFY1,301.8970018870811,-0.5623263353658583,0.22888810162969378,-2.4567739928902768,0.014019085195643792,0.04219355499210249
WDFY2,720.159105382124,-0.037584550562514585,0.15348416331042378,-0.24487575624658633,0.8065526339945196,0.8707148621309482
WDFY3,290.61138934613933,-0.7598214042333988,0.2266391913634248,-3.352559633055677,0.0008006799059529232,0.004115140228862955
WDFY3-AS1,0.6281955070710897,-3.387152258929896,1.6269276235305907,-2.081931740503273,0.037348705069589,
WDFY4,20.252149071888077,-0.29128306635035234,0.6857285631989881,-0.42477896063055837,0.6709978164139507,0.770648099720507
WDHD1,69.87845901794772,0.0780085311642979,0.25459477185986024,0.3064027222335779,0.7592980359306172,0.8360968165521179
WDPCP,85.37346122920798,-0.7072713878028264,0.20241319686609358,-3.4941960245345154,0.00047549174904556676,0.002681231193139732
WDR1,1643.0115347182896,1.0646173365425897,0.16782653404033687,6.343557904179267,2.245185285180746e-10,1.0493907591129264e-08
WDR11,305.077146534736,0.04922918311774341,0.13537666590904973,0.3636460004918212,0.7161223716988256,0.8044372263732272
WDR11-DT,5.687099285497738,-1.0236173655738137,0.48141315650660144,-2.1262762592566937,0.033480263616042255,0.08360280931010786
WDR12,275.151686671513,-0.0035763708007490336,0.1881416821761545,-0.019008923271986725,0.9848339869550412,0.9903220972452592
WDR13,857.4957763587626,0.4459570902804098,0.12668239556782807,3.520276738385771,0.00043109675272534815,0.0024686934686899294
WDR17,7.321997850772482,-2.228353117835862,0.6535399864985628,-3.409666070739747,0.0006504246462385966,0.003454269130695282
WDR18,703.8294667553008,1.0413763403109229,0.2114660517822686,4.924555651056243,8.455226416962024e-07,1.3328681643270023e-05
WDR19,92.91184001638396,-1.105731677578408,0.24411876627226597,-4.529482491096911,5.912833371803078e-06,6.909087572303816e-05
WDR20,454.26457238173333,-0.4732568442033381,0.1801985626614101,-2.626307542156034,0.00863167896705777,0.028633741689137127
WDR24,86.31393467665302,0.24115048146454077,0.18380122900255053,1.312017785589423,0.18951413362810277,0.3141900241398348
WDR25,85.040167607324,0.4209810716022505,0.19654881056623957,2.1418652719873585,0.032204325132133386,0.08112800858855634
WDR26,857.7906383126746,-0.3436782580206375,0.2430782900866533,-1.4138583001308838,0.15740351171368272,0.2740009549971742
WDR27,83.579393933463,0.03600783414382152,0.2159089412425907,0.1667732421667701,0.8675484734541423,0.9137873329480748
WDR3,219.86937300733553,0.2922162164718882,0.24426378437467247,1.196314129087848,0.23157399709842308,0.36472648414852654
WDR31,19.535367937212115,-0.5036677265336859,0.24907656522257357,-2.022140164345092,0.04316187371107159,0.10198425027306295
WDR33,1115.8191908756617,0.14338283823056147,0.12850508013879186,1.1157756415209492,0.26451818288408335,0.4015713138879901
WDR35,64.8004692411382,-1.3434656970800691,0.3267170099907541,-4.112016381143083,3.922184621144084e-05,0.0003336434229694848
WDR35-DT,0.14263697362194827,-1.101668312818021,2.7438599381597295,-0.4015031151906738,0.6880497450662725,
WDR36,292.6026656298595,-0.19924473398321663,0.22489050856232684,-0.8859632861206205,0.37563731136812073,0.5180535234260756
WDR37,177.34558704514149,0.07566747260009442,0.1984024574919315,0.3813837467369658,0.7029185195471892,0.794641630312877
WDR38,0.5918830673708251,-1.094538627456468,1.1634088296284906,-0.9408030948209196,0.34680577463506423,
WDR4,175.41954890304237,1.5735092445641896,0.23987035284582206,6.559832117208628,5.3868390194111364e-11,2.9925171920134453e-09
WDR41,338.53307864117727,0.18743045331882374,0.10534045402556336,1.7792827556385822,0.07519341667061256,0.15661934471811645
WDR43,1038.8524471238638,-0.09788269133053666,0.20639465454025605,-0.47425012798209476,0.6353215507757923,0.7426107214934291
