gene,log2FC,padj,baseMean,log2FC_pseudobulk,lfcSE,stat,pvalue,padj_pseudobulk,same_direction
TPX2,2.081,1.43e-18,241.78960345937506,1.0017569340686265,0.4906701470165349,2.041609704930487,0.04119026186034088,0.09823849858607428,True
KIF20A,2.078,8.39e-20,35.79181291522449,1.3784132648806933,0.41956682825859837,3.2853247016733023,0.0010186490671917122,0.005012288430134755,True
PCGF5,2.078,8.11e-31,545.2000559852721,-0.21539027889370688,0.16059776936234038,-1.3411785216502212,0.17986249809275823,0.302371704715149,False
RAD51AP1,2.074,1.38e-26,125.30612310471064,0.7912843588468087,0.32832212595174876,2.4100853896246344,0.01594878726703435,0.04674984163906322,True
RAC2,2.067,1.41e-13,291.4589181644673,0.35009025995298754,0.40675714543039015,0.8606861954018207,0.3894108981733492,0.5310006148544129,True
SPATA20,2.066,4.13e-30,187.12540297272892,-0.04339598208686447,0.2160930280564637,-0.20082083386570612,0.8408386717131158,0.8953297122528491,False
HLA-DPA1,2.064,2.8e-11,2609.3380811527563,0.3052363947733515,0.4188048545600985,0.728827260357246,0.46610733412878746,0.6017805897669175,True
KLK7,2.063,8.08e-19,1636.5915129511711,-1.1243851587801759,0.4206054728931434,-2.673253752610658,0.007511940423675164,0.025668700599856265,False
ZWINT,2.048,1.07e-25,376.12905662507995,1.5112661738950255,0.3746827565501242,4.033455363171622,5.496262497355785e-05,0.000441022415264912,True
MMP9,2.043,5.6e-12,82.30458423791926,0.31684941124480354,0.4065762010720712,0.7793112592653638,0.43579638377772045,0.5729080968422027,True
ATG9B,2.043,2.07e-17,16.888918507400223,-2.005519495335646,0.5734264350499316,-3.497431183410673,0.00046976189257789106,0.0026517214655031062,False
CCNB2,2.043,5.21e-26,212.5914300973828,1.4148928806899086,0.4746020387812454,2.9812195588609005,0.0028710287204234885,0.011797840220901445,True
ATP10B,2.042,1.25e-26,227.39992694209351,1.4478208871709712,0.3790853352574484,3.819247943705635,0.000133859162181492,0.0009289251800508997,True
CYP2C18,2.038,4.51e-18,49.90675501884357,-0.5387962771855531,0.5312489700133791,-1.0142067233974759,0.3104841211085507,0.45173631407115616,False
ACP5,2.029,2.84e-38,592.3804245545479,1.4592092435177215,0.3068293219693508,4.75576856263914,1.976928509712533e-06,2.7438072103612544e-05,True
SRD5A3,2.026,1.31e-40,817.5904634265939,1.7737750569056014,0.26426191331805166,6.712185780516846,1.9173036256650593e-11,1.2188573048870735e-09,True
TRIM14,2.019,6.1599999999999994e-30,199.71825294960502,1.4488954083441712,0.27784886018031973,5.214689048585119,1.8412583775135542e-07,3.660058301882287e-06,True
TTK,2.019,4.77e-18,67.40785735012757,0.4251302177604513,0.4884859665711721,0.8703018036414975,0.3841354935325606,0.5260713048570554,True
UBE2T,2.016,1.2e-20,297.91197021733916,1.2678541791280318,0.4140532580827136,3.0620557968771207,0.0021982247239026188,0.009474188882679566,True
CENPK,2.012,8.770000000000001e-21,172.0301315412712,0.7984049803271525,0.37265222642405,2.142493520000141,0.03215378956250674,0.08103154544525683,True
CD48,2.008,5.49e-12,240.61582995714608,-0.2130960136086645,0.49362409715786565,-0.4316969427457153,0.6659616897248196,0.7667605483248247,False
CD52,2.007,6.21e-13,690.3958785351736,0.12074572729600946,0.4440608664341914,0.2719125606937572,0.7856892529668354,0.8558479495829264,True
MCM10,2.005,1.85e-16,43.933010612019345,1.2177597580745423,0.363176774527713,3.3530771885348583,0.0007991841528327434,0.004111409803590415,True
GBP6,2.002,3.9e-13,87.3341331659053,3.5196138434065154,0.35679633129802096,9.864490003588882,5.933520646210584e-23,2.88045456825132e-20,True
OSBPL8,-2.001,8.66e-24,1480.5910194971827,-0.8433647749588404,0.21977457261537767,-3.8374083267348373,0.0001243396283269931,0.0008739369730386881,True
FASN,-2.006,1.76e-12,648.1270658876717,0.003010353804393873,0.26163931043367517,0.011505739712446571,0.990819950468893,0.9936109925828899,False
ZNF606,-2.007,2.54e-28,44.19688381018068,-0.7969316280498911,0.2650558556344389,-3.0066554317102407,0.002641389786464138,0.01100235683285374,True
