gene,log2FC,padj
GPR146,-2.253,1.7799999999999998e-23
WIF1,-2.257,1.28e-07
DACT1,-2.258,2.28e-14
SEMA3G,-2.258,1.55e-23
BCAR3,-2.259,8.74e-41
MB,-2.263,1.2e-17
GRB14,-2.265,1.57e-14
H2AC8,-2.268,7.43e-14
CES1,-2.272,7.68e-14
ELAPOR1,-2.275,3.4300000000000004e-21
NR3C2,-2.275,4.9300000000000004e-26
VEGFA,-2.276,2.6e-12
NCALD,-2.28,1.13e-15
SPTBN1,-2.287,6.279999999999999e-23
LINC01140,-2.289,3.76e-10
SOD2,-2.29,2.23e-11
FAM13A,-2.295,6.81e-36
GPC6,-2.299,3.92e-15
SOX9,-2.299,2.01e-20
FGFBP2,-2.31,2.4e-15
MSMB,-2.316,6.19e-10
SPRY1,-2.318,2.9e-35
PADI2,-2.322,5.100000000000001e-21
ACSBG1,-2.324,1.69e-08
ABCA9,-2.325,9.11e-18
CA4,-2.328,4.23e-11
KRT18,-2.332,3.51e-10
LIFR,-2.334,4.44e-17
NFIL3,-2.339,5.27e-28
PRR15L,-2.342,1.56e-23
SEPTIN11,-2.348,7.580000000000001e-21
ADAMTS9,-2.349,1.27e-11
MEGF10,-2.355,4.6300000000000004e-21
OGN,-2.356,1.87e-12
BTNL9,-2.358,7.17e-19
THBS1,-2.361,6.99e-13
MMP7,-2.362,4.07e-14
SSPN,-2.363,1.46e-18
AOC3,-2.365,3.64e-11
TCIM,-2.366,1.0300000000000001e-22
HBP1,-2.371,5.290000000000001e-21
PDE9A,-2.373,5.850000000000001e-21
PLCB4,-2.374,1.0000000000000001e-29
FNIP1,-2.378,7.61e-16
CEACAM7,-2.387,1.14e-20
KLF9,-2.387,1.53e-28
PCK1,-2.388,8.69e-11
HES1,-2.39,6.9e-38
GALNT15,-2.396,4.57e-10
OSMR,-2.404,1.53e-15
ID4,-2.407,4.02e-24
CIDEC,-2.415,8.89e-08
PTGS2,-2.42,7.6e-11
RHOBTB3,-2.42,2.25e-23
ACTA2,-2.424,4.02e-16
MYBPC1,-2.428,1.36e-16
PPARG,-2.433,1.55e-14
